mes_ref,quant_export,val_export,quant_import,val_import
10/01/17,8655,2829062213,8703,1353087954
11/01/17,8030,2481157186,9414,1567272114
12/01/17,8252,3976510883,8686,1818015337
01/01/18,6426,2840869003,10224,1552054805
02/01/18,6697,2827912920,7579,1200645071
03/01/18,8366,4261460865,9506,1586617196
04/01/18,8404,5125432917,9376,1889573271
05/01/18,7948,5196781524,9844,1860391476
06/01/18,7410,4053749328,10115,2045304726
07/01/18,6884,3794572332,11500,2883139476
08/01/18,8904,4851999752,10369,2741562219
09/01/18,6825,2804885405,9960,2586547082
10/01/18,8312,4329814925,11989,3314112231
11/01/18,7614,3821215575,10424,2280899294
12/01/18,7388,3554964894,9503,2240076660
01/01/19,6491,2185993284,12051,2021329567
02/01/19,6553,2826369377,9619,1754476826
03/01/19,7885,3110396538,9646,1715948968
04/01/19,7086,3353819768,11299,2310263555
05/01/19,7775,3077265688,11854,2495560015
06/01/19,5936,2809721830,10903,2451653794
07/01/19,6922,2041600778,12285,1874723515
08/01/19,9270,3865320551,10657,1953323138
09/01/19,7194,3086370160,11910,2290789581
10/01/19,7383,3064895675,13049,2035003397
11/01/19,8140,2580491005,10333,1968941265
12/01/19,6141,2355333515,12318,2125949338
01/01/20,7243,2701847658,9767,1559967141
02/01/20,6660,2476573558,8465,1567132890
03/01/20,7889,4220684593,8544,1306234889
04/01/20,5774,2738171735,7600,1496769808
05/01/20,5964,2321080907,9241,1350864642
06/01/20,6989,2336624827,9631,1436415163
07/01/20,6741,2309292987,11968,1387382104
08/01/20,7925,2436669251,10161,1088449308
09/01/20,7583,2383374229,12109,1212464802
10/01/20,7953,2210698936,12780,1548998975
11/01/20,6677,1328003295,15469,1614239180
12/01/20,7889,1821611055,14609,2145023159
01/01/21,7635,1553893093,11764,1236592445
02/01/21,7291,2020454236,11459,1626645754
03/01/21,9793,4285885574,15031,2470108905
04/01/21,7440,2699553357,14363,2202200672
05/01/21,8152,2926766302,14882,2278414171
06/01/21,8914,3085956725,16396,2804852894
07/01/21,9478,3142685531,14660,2316712279
08/01/21,9004,2199959948,15129,2734320955
09/01/21,9938,3132853209,14410,2787214459
10/01/21,9706,2547471560,13374,2275281494
11/01/21,8761,1885256031,14786,2202477896
12/01/21,9934,2885395748,14413,2879979963
01/01/22,6949,2012679460,13564,1980507622
02/01/22,7188,2481821514,13151,2033907537
03/01/22,9130,4952244108,15680,2516158582
04/01/22,9012,4485273831,13994,2593879532
05/01/22,8952,4966102207,17503,3312641086
06/01/22,11863,5158677181,16084,2938677485
07/01/22,9542,3533964036,16994,3094128967
08/01/22,9302,3650162901,19709,3131620944
09/01/22,11067,4454459835,17866,3276569668
