mes_ref,quant_export,val_export,quant_import,val_import
out21,1446,1293611520,8605,1787222459
nov21,1352,1078238051,8187,2122368571
dez21,1484,2132961789,8299,1973057510
jan22,1256,1467177376,8662,1844833564
fev22,1188,2430364335,7652,2199401354
mar22,1687,2444685782,8208,2163768989
abr22,1479,2363859758,7546,1900120879
mai22,1507,1888762661,8285,2380581720
jun22,1584,1640690301,7396,1796283790
jul22,1393,1714194816,8270,1585496759
ago22,1576,1473521846,8061,1851126993
set22,1567,2138672790,7743,2251420189
