mes_ref,quant_export,val_export,quant_import,val_import
out21,9993,2417257776,24746,3776182958
nov21,9306,2316071112,26663,4726984404
dez21,10233,4244231820,25827,4371183742
jan22,7393,2294922760,27614,4245671710
fev22,7426,3817122268,24007,3191258010
mar22,9491,4261185105,27490,3922362549
abr22,9005,5232563872,24174,4350430353
mai22,9289,3865974376,29172,4558805202
jun22,7393,2294922760,27614,4245671710
jul22,9733,3971237828,27934,4207014662
ago22,9377,4472106898,31635,5008449146
set22,10636,4091619170,27346,4511153294
