mes_ref,quant_export,val_export,quant_import,val_import
out21,6740,2021671539,16177,2918620748
nov21,6509,1602899336,17813,2472232030
dez21,6865,2277158356,16453,3006242239
jan22,5524,1948990122,17071,2538433979
fev22,5599,1831716227,14991,2167003814
mar22,6734,1939659474,18035,2270449992
abr22,5771,3018219249,15082,2119318537
mai22,5863,1633950696,17877,3009917564
jun22,6659,2236863510,16216,2268082931
jul22,5712,2105642958,16719,2406816524
ago22,5904,2030344584,18922,2989327492
set22,6615,2572098278,16719,3648304281
